title,company,location,experience,salary,posted,skills,description,url,relevance,match_reason,status,scanned_at
Walk-in || SDET Automation Tester / Lead -WALK-IN Drive in Hyderabad,Tata Consultancy Services,,,Not disclosed,2 days ago,"SDET Automation, katalon, Selenium, SDLC, STLC, Parasoft, Software testing, SDET","Walk-in || SDET Automation Tester / Lead -WALK-IN Drive in Hyderabad SDET Automation, katalon, Selenium, SDLC, STLC, Parasoft, Software testing, SDET",https://www.naukri.com/job-listings-sdet-automation-tester-lead-walk-in-drive-in-hyderabad-tata-consultancy-services-hyderabad-5-to-10-years-190426002617,24,"Core match: selenium, automation, sdet",pending,2026-04-21 16:56
Automation Test Engineer,CONFIDENTIAL,"Hybrid - Bengaluru, Hyderabad, Chennai",3-8 Yrs,7-17 Lacs PA,Today,"Java Selenium, Java, Bug Tracking Tool, Programming, Database Testing, Version Control, Automation Framework Development, Mobile Automation Testing","Automation Test Engineer Java Selenium, Java, Bug Tracking Tool, Programming, Database Testing, Version Control, Automation Framework Development, Mobile Automation Testing",https://www.naukri.com/job-listings-automation-test-engineer-integel-institute-of-technology-tamil-nadu-hyderabad-chennai-bengaluru-3-to-8-years-210426000071,24,"Core match: selenium, automation, java",pending,2026-04-21 16:56
Ai Test Automation Engineer,IBM,Bengaluru,2-5 Yrs,Not disclosed,Today,"ai, rest, python, bdd, data analytics, data analysis, data management, test automation","Ai Test Automation Engineer ai, rest, python, bdd, data analytics, data analysis, data management, test automation",https://www.naukri.com/job-listings-ai-test-automation-engineer-ibm-india-pvt-limited-bengaluru-2-to-5-years-210426911930,24,"Core match: automation, python, bdd",pending,2026-04-21 16:56
Automation Test Engineer,Black and white Business Solution,"Hybrid - Bengaluru, Pune, Hyderabad",4-6 Yrs,10-12 Lacs PA,1 day ago,"Java, Cobol, Selenium, Software testing, Automation testing, Automation","Automation Test Engineer Java, Cobol, Selenium, Software testing, Automation testing, Automation",https://www.naukri.com/job-listings-automation-test-engineer-black-and-white-business-solutions-hyderabad-pune-bengaluru-4-to-6-years-200426001488,24,"Core match: selenium, automation, java",pending,2026-04-21 16:56
Automation Test Engineer,Wissen Technology,Bengaluru,5-7 Yrs,Not disclosed,6 days ago,"automation framework, continuous integration, ci/cd, test execution, api automation, automation, java, git","Automation Test Engineer automation framework, continuous integration, ci/cd, test execution, api automation, automation, java, git",https://www.naukri.com/job-listings-automation-test-engineer-wissen-technology-pvt-ltd-bengaluru-5-to-7-years-150426010408,24,"Core match: automation, java, ci/cd",pending,2026-04-21 16:56
Automation Test Engineer,Clifyx Technology,Bengaluru,5-7 Yrs,Not disclosed,1 day ago,"Computer science, Coding, Billing, Agile, Scrum, Selenium, Test cases, SDLC","Automation Test Engineer Computer science, Coding, Billing, Agile, Scrum, Selenium, Test cases, SDLC",https://www.naukri.com/job-listings-automation-test-engineer-clifyx-technology-bengaluru-5-to-7-years-200426504238,24,"Core match: selenium, automation | Bonus: agile, scrum",pending,2026-04-21 16:56
Walk-in || Tcs Direct Walkin || Automation Test Engineer|| Ahmedabad,Tata Consultancy Services,,,Not disclosed,1 day ago,"Automation Testing, Java Selenium, Selenium, Software testing, TCAE, Automation, Java, Direct","Walk-in || Tcs Direct Walkin || Automation Test Engineer|| Ahmedabad Automation Testing, Java Selenium, Selenium, Software testing, TCAE, Automation, Java, Direct",https://www.naukri.com/job-listings-tcs-direct-walkin-automation-test-engineer-ahmedabad-tata-consultancy-services-ahmedabad-4-to-9-years-200426022299,24,"Core match: selenium, automation, java",pending,2026-04-21 16:56
Automation Test Engineer,Acro Hr Solutions,Noida,3-5 Yrs,Not disclosed,1 day ago,"Java, Selenium Testing, Automation Testing, Testing Frameworks, Framework, Software testing, Automation, Selenium","Automation Test Engineer Java, Selenium Testing, Automation Testing, Testing Frameworks, Framework, Software testing, Automation, Selenium",https://www.naukri.com/job-listings-automation-test-engineer-acro-hr-solutions-noida-3-to-5-years-200426015259,24,"Core match: selenium, automation, java",pending,2026-04-21 16:56
SDET Automation Test Engineer,Planview,Bengaluru,6-8 Yrs,Not disclosed,4 days ago,"C#, Playwright, .Net, SDET, Software testing, Automation, Automation testing","SDET Automation Test Engineer C#, Playwright, .Net, SDET, Software testing, Automation, Automation testing",https://www.naukri.com/job-listings-sdet-automation-test-engineer-planview-bengaluru-6-to-8-years-170426012288,24,"Core match: automation, playwright, sdet",pending,2026-04-21 16:56
SDET Automation Testing- Virtual drive,Tata Consultancy Services,"Bengaluru, Hyderabad",3-7 Yrs,Not disclosed,1 day ago,"Selenium, Manual Testing, SDET Automation Testing, SDLC, STLC, SDET, Manual, Automation testing","SDET Automation Testing- Virtual drive Selenium, Manual Testing, SDET Automation Testing, SDLC, STLC, SDET, Manual, Automation testing",https://www.naukri.com/job-listings-sdet-automation-testing-virtual-drive-tata-consultancy-services-hyderabad-bengaluru-3-to-7-years-200426000886,24,"Core match: selenium, automation, sdet",pending,2026-04-21 16:56
QA Lead Automation & Quality Engineering,Float Group,Hyderabad,6-11 Yrs,Not disclosed,3+ weeks ago,"Automation, Architecture, Coding, Performance testing, Agile, Healthcare, Selenium, Apache","QA Lead Automation & Quality Engineering Automation, Architecture, Coding, Performance testing, Agile, Healthcare, Selenium, Apache",https://www.naukri.com/job-listings-qa-lead-automation-quality-engineering-float-group-hyderabad-6-to-11-years-260226503843,24,"Core match: selenium, automation | Bonus: performance, agile",pending,2026-04-21 16:56
Automation Engineer (JavaScript / Playwright),Akkodis,Gurugram,6-11 Yrs,Not disclosed,3 weeks ago,"Api Automation, Javascript, Ui Automation, Playwright Automation, API, Automation engineering, UI, Automation","Automation Engineer (JavaScript / Playwright) Api Automation, Javascript, Ui Automation, Playwright Automation, API, Automation engineering, UI, Automation",https://www.naukri.com/job-listings-automation-engineer-javascript-playwright-akkodis-gurugram-6-to-11-years-250326014860,24,"Core match: automation, java, playwright",pending,2026-04-21 16:56
Automation Engineer - Playwright,Rarr Technologies,Bengaluru,6-9 Yrs,Not disclosed,3+ weeks ago,"github, GIT, Test scripts, Debugging, Test execution, Javascript, ui automation, Troubleshooting","Automation Engineer - Playwright github, GIT, Test scripts, Debugging, Test execution, Javascript, ui automation, Troubleshooting",https://www.naukri.com/job-listings-automation-engineer-playwright-rarr-technologies-bengaluru-6-to-9-years-121225501596,24,"Core match: automation, java, playwright",pending,2026-04-21 16:56
Automation Engineer- Playwright,Tata Consultancy Services,"Kolkata, Pune, Bhubaneswar",6-10 Yrs,Not disclosed,3+ weeks ago,"Typescript, Playwright, Javascript, Automation Testing, Software testing, Automation, Automation engineering","Automation Engineer- Playwright Typescript, Playwright, Javascript, Automation Testing, Software testing, Automation, Automation engineering",https://www.naukri.com/job-listings-automation-engineer-playwright-tata-consultancy-services-bhubaneswar-kolkata-pune-6-to-10-years-170326008824,24,"Core match: automation, java, playwright",pending,2026-04-21 16:56
Automation Playwright engineer,Grid Dynamics,Hyderabad,5-10 Yrs,Not disclosed,1 week ago,"Automation, Automation testing, Front end, GCP, e2e testing, Cloud, Selenium, Medical insurance","Automation Playwright engineer Automation, Automation testing, Front end, GCP, e2e testing, Cloud, Selenium, Medical insurance",https://www.naukri.com/job-listings-automation-playwright-engineer-grid-dynamics-hyderabad-5-to-10-years-090426501909,24,"Core match: selenium, automation, playwright",pending,2026-04-21 16:56
Automation Engineer,Mobifly,"Delhi / NCR, Gurugram",4-7 Yrs,6.5-16.5 Lacs PA,1 week ago,"Playwright Automation, Automation, Automation Testing, Automation Engineering, Python, Engineering, Software testing","Automation Engineer Playwright Automation, Automation, Automation Testing, Automation Engineering, Python, Engineering, Software testing",https://www.naukri.com/job-listings-automation-engineer-mobifly-gurugram-delhi-ncr-4-to-7-years-140426023100,24,"Core match: automation, python, playwright",pending,2026-04-21 16:56
Test Automation Engineer,Accenture,Bengaluru,3-8 Yrs,Not disclosed,1 day ago,"automation, continuous integration, python, software development, test automation, automation testing, investment banking, accounting","Test Automation Engineer automation, continuous integration, python, software development, test automation, automation testing, investment banking, accounting",https://www.naukri.com/job-listings-test-automation-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-200426905361,20,"Core match: automation, python | Bonus: banking",pending,2026-04-21 16:56
Quality Assurance Engineer,apexanalytix,Gurugram,4-5 Yrs,Not disclosed,3+ weeks ago,"Automation, Manual testing, Manager Quality Assurance, Performance testing, Windows, Selenium, Information technology, SDLC","Quality Assurance Engineer Automation, Manual testing, Manager Quality Assurance, Performance testing, Windows, Selenium, Information technology, SDLC",https://www.naukri.com/job-listings-quality-assurance-engineer-apexanalytix-gurugram-4-to-5-years-010825506150,20,"Core match: selenium, automation | Bonus: performance",pending,2026-04-21 16:56
Automation Tester,IBS Software Services,"Bengaluru, Kolkata, Mumbai, Pune, Hyderabad, New Delhi, Chennai",5-8 Yrs,Not disclosed,3+ weeks ago,"automation framework, Web services, Test scripts, Analytical, Debugging, Agile, Selenium, Continuous improvement","Automation Tester automation framework, Web services, Test scripts, Analytical, Debugging, Agile, Selenium, Continuous improvement",https://www.naukri.com/job-listings-automation-tester-ibs-software-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-090824501304,20,"Core match: selenium, automation | Bonus: agile",pending,2026-04-21 16:56
QA Automation Lead,Persistent,Pune,8-11 Yrs,Not disclosed,3 weeks ago,"automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives","QA Automation Lead automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives",https://www.naukri.com/job-listings-qa-automation-lead-persistent-systems-limited-pune-8-to-11-years-161024023081,20,"Core match: automation, ci/cd | Bonus: cucumber",pending,2026-04-21 16:56
QA Automation Lead,Persistent,Hyderabad,8-11 Yrs,Not disclosed,1 week ago,"automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives","QA Automation Lead automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives",https://www.naukri.com/job-listings-qa-automation-lead-persistent-systems-limited-hyderabad-8-to-11-years-171024011724,20,"Core match: automation, ci/cd | Bonus: cucumber",pending,2026-04-21 16:56
QA Automation Lead,Persistent,Bengaluru,8-11 Yrs,Not disclosed,1 week ago,"automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives","QA Automation Lead automation framework, continuous integration, cucumber, ci/cd, qa life cycle, robot, cloud, derivatives",https://www.naukri.com/job-listings-qa-automation-lead-persistent-systems-limited-bengaluru-8-to-11-years-171024011638,20,"Core match: automation, ci/cd | Bonus: cucumber",pending,2026-04-21 16:56
Playwright Automation Engineer,Tata Consultancy Services,Bengaluru,8-12 Yrs,Not disclosed,3+ weeks ago,"Playwright, Agile, Playwright Automation, Automation engineering, Automation","Playwright Automation Engineer Playwright, Agile, Playwright Automation, Automation engineering, Automation",https://www.naukri.com/job-listings-playwright-automation-engineer-tata-consultancy-services-bengaluru-8-to-12-years-240326006838,20,"Core match: automation, playwright | Bonus: agile",pending,2026-04-21 16:56
Playwright Automation Engineer,Tata Consultancy Services,Hyderabad,8-12 Yrs,Not disclosed,3+ weeks ago,"Playwright, Agile, Playwright Automation, Automation engineering, Automation","Playwright Automation Engineer Playwright, Agile, Playwright Automation, Automation engineering, Automation",https://www.naukri.com/job-listings-playwright-automation-engineer-tata-consultancy-services-hyderabad-8-to-12-years-230326017467,20,"Core match: automation, playwright | Bonus: agile",pending,2026-04-21 16:56
Software Development Engineer in Test,Dtcc,"Hybrid - Hyderabad, Chennai",4-9 Yrs,Not disclosed,1 day ago,"software development, rest, python, alm, software testing, automation testing, ai, user stories","Software Development Engineer in Test software development, rest, python, alm, software testing, automation testing, ai, user stories",https://www.naukri.com/job-listings-software-development-engineer-in-test-dtcc-hyderabad-chennai-4-to-9-years-200426910912,16,"Core match: automation, python",pending,2026-04-21 16:56
Software Development Engineer in Test (SDET),Applause,"Bengaluru, Kolkata, Mumbai, Pune, Hyderabad, New Delhi, Chennai",5-10 Yrs,Not disclosed,1 day ago,"automation framework, Software testing, QA, Training, Automation testing, Managed services, Test scripts, Programming","Software Development Engineer in Test (SDET) automation framework, Software testing, QA, Training, Automation testing, Managed services, Test scripts, Programming",https://www.naukri.com/job-listings-software-development-engineer-in-test-sdet-applause-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-200426504687,16,"Core match: automation, sdet",pending,2026-04-21 16:56
Java Script Test Automation Engineer,Epam Systems,"Hybrid - Bengaluru, Hyderabad, Chennai",6-10 Yrs,Not disclosed,2 weeks ago,"Typescript, Cypress, Javascript, Webdriverio, Java, Software testing, Automation testing, Automation","Java Script Test Automation Engineer Typescript, Cypress, Javascript, Webdriverio, Java, Software testing, Automation testing, Automation",https://www.naukri.com/job-listings-java-script-test-automation-engineer-epam-systems-hyderabad-chennai-bengaluru-6-to-10-years-150126033409,16,"Core match: automation, java",pending,2026-04-21 16:56
Automation Test Engineer - SDET,Wipro,Hyderabad,6-11 Yrs,Not disclosed,Just now,"SDET, Automation testing, Software testing, Automation","Automation Test Engineer - SDET SDET, Automation testing, Software testing, Automation",https://www.naukri.com/job-listings-automation-test-engineer-sdet-wipro-limited-hyderabad-6-to-11-years-210426036129,16,"Core match: automation, sdet",pending,2026-04-21 16:56
Sdet Engineer,Shell Infotech,Hyderabad,4-9 Yrs,6-11 Lacs PA,1 week ago,"Adb Commands, Github, Programming, Automation Testing, Framework, STLC, Automation, Command","Sdet Engineer Adb Commands, Github, Programming, Automation Testing, Framework, STLC, Automation, Command",https://www.naukri.com/job-listings-sdet-engineer-shell-infotech-hyderabad-4-to-9-years-140426020188,16,"Core match: automation, sdet",pending,2026-04-21 16:56
"QA Automation Lead Emerging Technologies, Blockchain, IoT, AI & SDLC",Synechron,"Pune, Hinjewadi",5-10 Yrs,Not disclosed,1 week ago,"Sdlc, Java, Automation, Azure, Coaching, Blockchain, Ai, Iot","QA Automation Lead Emerging Technologies, Blockchain, IoT, AI & SDLC Sdlc, Java, Automation, Azure, Coaching, Blockchain, Ai, Iot",https://www.naukri.com/job-listings-qa-automation-lead-emerging-technologies-blockchain-iot-ai-sdlc-synechron-technologies-pvt-ltd-pune-hinjewadi-5-to-10-years-080426920536,16,"Core match: automation, java",pending,2026-04-21 16:56
Test Automation Engineer,Accenture,Bengaluru,3-8 Yrs,Not disclosed,5 days ago,"automation, continuous integration, oracle, test automation, deployment tools, version control, sql, spring boot","Test Automation Engineer automation, continuous integration, oracle, test automation, deployment tools, version control, sql, spring boot",https://www.naukri.com/job-listings-test-automation-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-160426927977,8,Core match: automation,pending,2026-04-21 16:56
Automated Test Engineer,Xerox Business Solutions Southeast,"Bengaluru, Kolkata, Mumbai, Pune, Hyderabad, New Delhi, Chennai",5-10 Yrs,Not disclosed,1 day ago,"Automation, Business Analyst, Defect tracking, Analytical, System integration, Test scenarios, JDBC, Troubleshooting","Automated Test Engineer Automation, Business Analyst, Defect tracking, Analytical, System integration, Test scenarios, JDBC, Troubleshooting",https://www.naukri.com/job-listings-automated-test-engineer-xerox-business-solutions-southeast-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-200426504898,8,Core match: automation,pending,2026-04-21 16:56
Software Development Engineer in Test,Dtcc,Hyderabad,4-9 Yrs,Not disclosed,1 day ago,"software development, rest, project management, test automation, prototyping, user stories, sql, qa","Software Development Engineer in Test software development, rest, project management, test automation, prototyping, user stories, sql, qa",https://www.naukri.com/job-listings-software-development-engineer-in-test-dtcc-hyderabad-4-to-9-years-200426910909,8,Core match: automation,pending,2026-04-21 16:56
QA Automation - Lead,Iris Software,Noida,4-8 Yrs,Not disclosed,3+ weeks ago,"qa, mlops, software testing, test automation, sprint, manual testing, quality engineer, sql","QA Automation - Lead qa, mlops, software testing, test automation, sprint, manual testing, quality engineer, sql",https://www.naukri.com/job-listings-qa-automation-lead-iris-software-technologies-private-limited-noida-4-to-8-years-230326907690,8,Core match: automation,pending,2026-04-21 16:56
Quality Assurance Engineer,GE VERNOVA,Hyderabad,3-7 Yrs,Not disclosed,2 weeks ago,"Quality Assurance, kubernetes, rest, project management, confluence, test automation, qa engineer, business analyst","Quality Assurance Engineer Quality Assurance, kubernetes, rest, project management, confluence, test automation, qa engineer, business analyst",https://www.naukri.com/job-listings-quality-assurance-engineer-ge-renewable-energy-technologies-private-limited-hyderabad-3-to-7-years-010426914881,8,Core match: automation,pending,2026-04-21 16:56
QA Automation Lead,Aclat Technologies,Bengaluru,3-8 Yrs,Not disclosed,3+ weeks ago,"automation framework, rest, web services, Test scripts, maven, testing, User acceptance testing, mobile commerce","QA Automation Lead automation framework, rest, web services, Test scripts, maven, testing, User acceptance testing, mobile commerce",https://www.naukri.com/job-listings-qa-automation-lead-aclat-technologies-private-limited-bengaluru-3-to-8-years-030918500019,8,Core match: automation,pending,2026-04-21 16:56
QE Lead,Aumni Techworks,Pune,8-12 Yrs,Not disclosed,3+ weeks ago,"cd, continuous integration, rest, functional, automation testing, medical insurance, uat, mentoring","QE Lead cd, continuous integration, rest, functional, automation testing, medical insurance, uat, mentoring",https://www.naukri.com/job-listings-qe-lead-aumni-techworks-pune-8-to-12-years-191225503947,8,Core match: automation,pending,2026-04-21 16:56
Quality Assurance Engineer,GE VERNOVA,Hyderabad,3-8 Yrs,Not disclosed,2 weeks ago,"Quality Assurance, kubernetes, rest, project management, confluence, qa engineer, docker, qa","Quality Assurance Engineer Quality Assurance, kubernetes, rest, project management, confluence, qa engineer, docker, qa",https://www.naukri.com/job-listings-quality-assurance-engineer-ge-renewable-energy-technologies-private-limited-hyderabad-3-to-8-years-010426911290,0,,pending,2026-04-21 16:56
Sdet Engineer,Devstringx,Noida,3-7 Yrs,7-12 Lacs PA,Just now,"Java, Test Automation, TestNG, CI/CD, Selenium, Jenkins, Git, API Testing","Sdet Engineer Java, Test Automation, TestNG, CI/CD, Selenium, Jenkins, Git, API Testing",https://www.naukri.com/job-listings-sdet-engineer-devstringx-noida-3-to-7-years-210426035262,59,"Core match: selenium, automation, java, api testing | Bonus: testng | Preferred company",failed,2026-04-21 16:56
SDET (Immediate Joiners),Healthedge,Hybrid - Bengaluru,3-5 Yrs,Not disclosed,5 days ago,"Java, Automation Testing, Selenium, SOAP UI, Typescript, API Testing, Testng, JMeter","SDET (Immediate Joiners) Java, Automation Testing, Selenium, SOAP UI, Typescript, API Testing, Testng, JMeter",https://www.naukri.com/job-listings-sdet-immediate-joiners-healthedge-bengaluru-3-to-5-years-160426026724,48,"Core match: selenium, automation, java, api testing | Bonus: testng, jmeter",pending,2026-04-21 16:56
SDET,Testing Mavens Software,"Bengaluru, Kolkata, Mumbai, Pune, Hyderabad, New Delhi, Chennai",4-9 Yrs,Not disclosed,3 weeks ago,"automation framework, Core Java, Automation testing, GIT, appium, Automation tools, Selenium, Troubleshooting","SDET automation framework, Core Java, Automation testing, GIT, appium, Automation tools, Selenium, Troubleshooting",https://www.naukri.com/job-listings-sdet-testing-mavens-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-9-years-240326508397,47,"Core match: selenium, automation, java, sdet | Preferred company",pending,2026-04-21 16:56
SDET (Playwright+ JavaScript /Typescript),Devstringx,Hybrid - Noida,3-5 Yrs,7-12 Lacs PA,1 day ago,"Javascript, Playwright Automation, Typescript, Automation Testing, Automation, SDET, Software testing","SDET (Playwright+ JavaScript /Typescript) Javascript, Playwright Automation, Typescript, Automation Testing, Automation, SDET, Software testing",https://www.naukri.com/job-listings-sdet-playwright-javascript-typescript-devstringx-technologies-pvt-ltd-noida-3-to-5-years-200426017900,47,"Core match: automation, java, playwright, sdet | Preferred company",pending,2026-04-21 16:56
SDET - Automation Testing - SQL,Coforge,Hybrid - Gurugram,6-9 Yrs,15-25 Lacs PA,1 day ago,"Java, Automation Testing, SQL Database, Selenium, Cucumber, Jenkins, Bdd, GIT","SDET - Automation Testing - SQL Java, Automation Testing, SQL Database, Selenium, Cucumber, Jenkins, Bdd, GIT",https://www.naukri.com/job-listings-sdet-automation-testing-sql-coforge-gurugram-6-to-9-years-200426010939,44,"Core match: selenium, automation, java, jenkins | Bonus: cucumber",pending,2026-04-21 16:56
SDET| Automation Testing | F2F Interview | Bangalore | Hyderabad!!,India's Largest IT Service Provider,"Bengaluru, Hyderabad",5-10 Yrs,15-25 Lacs PA (Including Variable: 10.0%),4 days ago,"Katalon, Java, SDET, Selenium, Cucumber, Bdd, Playwright, Play wright","SDET| Automation Testing | F2F Interview | Bangalore | Hyderabad!! Katalon, Java, SDET, Selenium, Cucumber, Bdd, Playwright, Play wright",https://www.naukri.com/job-listings-sdet-automation-testing-f2f-interview-bangalore-hyderabad-sp-staffing-hyderabad-bengaluru-5-to-10-years-030226008364,44,"Core match: selenium, automation, java, playwright | Bonus: cucumber",pending,2026-04-21 16:56
SDET Automation Test Engineer,Pi Square Technologies,Ahmedabad,4-9 Yrs,Not disclosed,6 days ago,"Jenkins, Selenium C#, Selenium Webdriver, Azure Devops, UI automation, Test execution, Github action, .net","SDET Automation Test Engineer Jenkins, Selenium C#, Selenium Webdriver, Azure Devops, UI automation, Test execution, Github action, .net",https://www.naukri.com/job-listings-sdet-automation-test-engineer-pi-square-technologies-ahmedabad-4-to-9-years-140426029995,44,"Core match: selenium, automation, jenkins, azure devops | Bonus: devops",pending,2026-04-21 16:56
SDET- Automation Test Engineer,MNC,Hyderabad,4-7 Yrs,8.5-18 Lacs PA,1 week ago,"Performance Testing, SDET, Playwright, Javascript, Automation Testing, Docker, Typescript, Ci/Cd","SDET- Automation Test Engineer Performance Testing, SDET, Playwright, Javascript, Automation Testing, Docker, Typescript, Ci/Cd",https://www.naukri.com/job-listings-sdet-automation-test-engineer-nexus-professionals-hyderabad-4-to-7-years-070426010678,44,"Core match: automation, java, playwright, ci/cd | Bonus: performance",pending,2026-04-21 16:56
QA Engineer,Hexaware Technologies,"Pune, Chennai",6-9 Yrs,Not disclosed,3 days ago,"Automation Testing, Selenium Java, Java Selenium, Cucumber Framework, Automation Selenium, API Testing, Cucumber, Bdd Cucumber","QA Engineer Automation Testing, Selenium Java, Java Selenium, Cucumber Framework, Automation Selenium, API Testing, Cucumber, Bdd Cucumber",https://www.naukri.com/job-listings-qa-engineer-hexaware-technologies-pune-chennai-6-to-9-years-170426031295,44,"Core match: selenium, automation, java, api testing | Bonus: cucumber",pending,2026-04-21 16:56
QA Lead - Manual & Automation,Accentus Consulting,Kolkata(Sector 5 Salt Lake),5-8 Yrs,7-9 Lacs PA,5 days ago,"API Testing, Automation Testing, Manual Testing, QA Automation, Playwright Automation, Regression Testing, Ci Cd Pipeline, Rest Assured","QA Lead - Manual & Automation API Testing, Automation Testing, Manual Testing, QA Automation, Playwright Automation, Regression Testing, Ci Cd Pipeline, Rest Assured",https://www.naukri.com/job-listings-qa-lead-manual-automation-accentus-consulting-kolkata-5-to-8-years-140426015430,43,"Core match: automation, playwright, api testing | Bonus: rest assured | Preferred company",pending,2026-04-21 16:56
Lead Quality Development (SDET) Engineer-Gen AI,Aeris Communications India,Noida,4-9 Yrs,Not disclosed,1 week ago,"Artificial Intelligence, Automation Testing, Java, Bdd, Generative Ai, Playwright, AI, Chatbot","Lead Quality Development (SDET) Engineer-Gen AI Artificial Intelligence, Automation Testing, Java, Bdd, Generative Ai, Playwright, AI, Chatbot",https://www.naukri.com/job-listings-lead-quality-development-sdet-engineer-gen-ai-aeris-communications-india-noida-4-to-9-years-130426005214,40,"Core match: automation, java, playwright, bdd",pending,2026-04-21 16:56
Sdet Engineer,Wipro,"Hybrid - Bengaluru, Pune, Chennai",5-10 Yrs,Not disclosed,1 week ago,"Java, API Testing, Automation Framework, Automation Testing, Selenium, Typescript, TDD, Javascript","Sdet Engineer Java, API Testing, Automation Framework, Automation Testing, Selenium, Typescript, TDD, Javascript",https://www.naukri.com/job-listings-sdet-engineer-wipro-pune-chennai-bengaluru-5-to-10-years-090426000186,40,"Core match: selenium, automation, java, api testing",pending,2026-04-21 16:56
SDET - Senior Engineer,Iris Software,Noida,3-6 Yrs,Not disclosed,1 week ago,"Selenium, Java, Automation, Bdd, Test Automation, Financial Services, Apis, Transportation","SDET - Senior Engineer Selenium, Java, Automation, Bdd, Test Automation, Financial Services, Apis, Transportation",https://www.naukri.com/job-listings-sdet-senior-engineer-iris-software-technologies-private-limited-noida-3-to-6-years-090426925986,40,"Core match: selenium, automation, java, bdd",pending,2026-04-21 16:56
Sdet Engineer,Evoke HR solutions private limited,Remote,8-11 Yrs,Not disclosed,5 days ago,"SDET, Java, Playwright, Automation Testing, Selenium, Software testing, Automation","Sdet Engineer SDET, Java, Playwright, Automation Testing, Selenium, Software testing, Automation",https://www.naukri.com/job-listings-sdet-engineer-evoke-hr-bengaluru-8-to-11-years-150426025658,40,"Core match: selenium, automation, java, playwright",pending,2026-04-21 16:56
Automation Test Engineer,PwC India,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-7 Yrs,Not disclosed,1 day ago,"C#, Playwright, Selenium With Java, Automation Testing, Test Automation Engineer, Python, Java, Software testing","Automation Test Engineer C#, Playwright, Selenium With Java, Automation Testing, Test Automation Engineer, Python, Java, Software testing",https://www.naukri.com/job-listings-automation-test-engineer-pwc-india-bengaluru-delhi-ncr-mumbai-all-areas-4-to-7-years-200426015265,40,"Core match: selenium, automation, java, python",pending,2026-04-21 16:56
Automation Test Engineer,Paxcom India,"Gurugram, Mohali",3-5 Yrs,Not disclosed,5 days ago,"Java, Rest Assured, Automation Testing, Selenium, Cucumber, API Testing, Database Testing, SQL Queries","Automation Test Engineer Java, Rest Assured, Automation Testing, Selenium, Cucumber, API Testing, Database Testing, SQL Queries",https://www.naukri.com/job-listings-automation-test-engineer-paxcom-india-mohali-gurugram-3-to-5-years-190326021257,40,"Core match: selenium, automation, java, api testing | Bonus: rest assured, cucumber",pending,2026-04-21 16:56
Automation playwright engineer,Srijan Spectrum,"Bengaluru, Mysuru",3-8 Yrs,3-8 Lacs PA,1 week ago,"Java, Playwright, API Testing, Selenium, Python, Typescript, Software Quality Assurance, Automation Framework","Automation playwright engineer Java, Playwright, API Testing, Selenium, Python, Typescript, Software Quality Assurance, Automation Framework",https://www.naukri.com/job-listings-automation-playwright-engineer-srijan-spectrum-mysuru-bengaluru-3-to-8-years-090426019739,40,"Core match: selenium, automation, java, python",pending,2026-04-21 16:56
Hiring For Automation Engineer | Hybrid | Fulltime,Vaco Binary Semantics,Hybrid - Gurugram,3-5 Yrs,Not disclosed,3+ weeks ago,"Test Automation Framework, Playwright, Communication Skills, API Testing, Automation Testing, Java, Ci/Cd, SQL","Hiring For Automation Engineer | Hybrid | Fulltime Test Automation Framework, Playwright, Communication Skills, API Testing, Automation Testing, Java, Ci/Cd, SQL",https://www.naukri.com/job-listings-hiring-for-automation-engineer-hybrid-fulltime-vaco-binary-semantics-gurugram-3-to-5-years-230326007064,40,"Core match: automation, java, playwright, api testing",pending,2026-04-21 16:56
Automation Engineer,Tata Consultancy Services,"Bengaluru, Chennai",5-10 Yrs,Not disclosed,6 days ago,"Playwright, Javascript, Automation Testing, Selenium, TypeScript, Java, Bdd, API Testing","Automation Engineer Playwright, Javascript, Automation Testing, Selenium, TypeScript, Java, Bdd, API Testing",https://www.naukri.com/job-listings-automation-engineer-tata-consultancy-services-chennai-bengaluru-5-to-10-years-060426033075,40,"Core match: selenium, automation, java, playwright",pending,2026-04-21 16:56
